~94018 BOULDER                CO  -7  N40 01  W105 15  1634                                                                         
~YR MO DA HR I  6  7     8     9  10   11  12    13     14     15         16      21      3
 90  1  1  1 0  0  0  -2.2 -10.0  56  835 200   2.6   32.2  77777 0999999999      0    0 ?0
 90  1  1  2 0  3  1  -2.8 -11.1  53  835 170   3.1   32.2  77777 0999999999           0 ?0
 90  1  1  3 0  5  2  -1.1 -11.7  45  835 190   3.6   32.2  77777 0999999999           0 ?0
 90  1  1  4 0  6  4   0.0 -11.7  42  834 220   4.1   32.2   7620 0999999999           0 ?0
 90  1  1  5 0  8  5   0.6 -12.2  38  834 190   4.1   32.2   7620 0999999999           0 ?0
 90  1  1  6 0  8  6  -0.6 -11.7  43  835 320   3.1   32.2   7620 0999999999           0 ?0
 90  1  1  7 0  8  6  -0.6 -11.1  45  835 190   2.6   64.4   7620 0999999999           0 ?0
 90  1  1  8 0  8  7  -0.6 -11.1  45  835 170   2.1  112.7   5490 0999999999          13 A4
 90  1  1  9 0  9  9   2.8 -11.7  34  835 200   5.2  112.7   5490 0999999999          71 A4
 90  1  1 10 0  7  6   5.0 -11.7  29  834 170   5.2  112.7   7620 0999999999         253 A3
 90  1  1 11 0  6  3   9.4 -11.7  22  834 170   2.1  112.7  77777 0999999999         367 E5
 90  1  1 12 0  8  4  11.7 -12.2  18  833 210   2.6  112.7  77777 0999999999         499 A3
 90  1  1 13 0  5  3  13.3 -11.7  17  832 360   2.6  112.7  77777 0999999999         469 A3
 90  1  1 14 0  6  3  11.7 -13.3  16  832  90   4.6  112.7  77777 0999999999         359 A3
 90  1  1 15 0  7  3   9.4  -6.7  32  832 100   3.6   96.6  77777 0999999999         290 A4
 90  1  1 16 0  6  2   9.4  -3.9  39  831 100   3.6   80.5  77777 0999999999         201 A5
 90  1  1 17 0  5  4   5.6  -5.6  45  831 130   3.1   80.5  77777 0999999999          19 A4
 90  1  1 18 0  3  1   4.4  -6.1  47  831 140   1.5   32.2  77777 0999999999           0 ?0
 90  1  1 19 0  2  1   1.7  -5.6  59  831 180   2.1   32.2  77777 0999999999           0 ?0
 90  1  1 20 0  1  0   0.6  -6.7  59  830 150   2.1   32.2  77777 0999999999           0 ?0
 90  1  1 21 0  3  1  -1.7  -6.1  72  830   0   0.0   32.2  77777 0999999999           0 ?0
 90  1  1 22 0  2  2  -2.8  -7.2  72  829  90   2.1   32.2  77777 0999999999           0 ?0
 90  1  1 23 0  4  3  -2.8  -7.2  72  829 140   3.1   32.2  77777 0999999999           0 ?0
 90  1  1 24 0  7  4  -1.7  -7.2  66  828   0   0.0   32.2   6100 0999999999           0 ?0
 90  1  2  1 0  8  7  -1.1  -6.7  66  827 180   3.1   32.2   6100 0999999999           0 ?0
 90  1  2  2 0  6  4   1.1  -8.3  50  827 200   2.1   32.2   6100 0999999999           0 ?0
 90  1  2  3 0  0  0   3.3 -10.0  37  827 200   4.6   32.2  77777 0999999999           0 ?0
 90  1  2  4 0  0  0   1.1 -10.0  44  826 200   3.1   32.2  77777 0999999999           0 ?0
 90  1  2  5 0  0  0   2.8 -11.7  34  826 200   5.2   32.2  77777 0999999999           0 ?0
 90  1  2  6 0  2  2   2.8 -11.1  36  826 210   6.2   32.2  77777 0999999999           0 ?0
 90  1  2  7 0  6  3   2.2 -11.7  35  826 230   4.1   48.3  77777 0999999999           0 ?0
 90  1  2  8 0  8  4   1.7 -11.1  39  827 190   4.1   96.6  77777 0999999999           9 A4
 90  1  2  9 0  9  4   2.8 -11.1  36  826 190   3.6  112.7  77777 0999999999          99 A4
 90  1  2 10 0  8  3   5.6 -10.6  31  827 230   3.6  112.7  77777 0999999999         252 A3
 90  1  2 11 0  4  2   8.9 -10.6  24  826 200   3.1  112.7  77777 0999999999         417 A3
 90  1  2 12 0  2  1  10.6 -11.7  20  825 200   2.6  112.7  77777 0999999999         482 A3
 90  1  2 13 0  2  1  12.2 -11.7  18  824 200   1.5  112.7  77777 0999999999         459 A3
 90  1  2 14 0  1  1  12.8 -11.7  17  824 360   3.1  112.7  77777 0999999999         347 A3
 90  1  2 15 0  2  1  11.7 -12.8  17  824  30   4.6   96.6  77777 0999999999         303 A3
 90  1  2 16 0  3  3  10.0  -9.4  25  824  60   3.6   80.5  77777 0999999999          91 A3
 90  1  2 17 0  6  5   5.0  -7.2  41  825   0   0.0   80.5   7620 0999999999          15 A4
 90  1  2 18 0  8  5   5.6  -8.9  35  825  50   3.1   32.2   3660 0999999999           0 ?0
 90  1  2 19 0  5  4   2.8  -7.2  48  826  90   1.5   32.2  77777 0999999999           0 ?0
 90  1  2 20 0  2  0   3.3  -8.3  43  826 160   3.1   32.2  77777 0999999999           0 ?0
 90  1  2 21 0  1  0   2.8 -10.0  39  826 160   2.1   32.2  77777 0999999999           0 ?0
 90  1  2 22 0  1  0   0.0  -7.8  56  826  60   2.1   32.2  77777 0999999999           0 ?0
 90  1  2 23 0  1  0  -1.7  -8.3  61  826   0   0.0   32.2  77777 0999999999           0 ?0
 90  1  2 24 0  1  0  -1.1  -8.3  58  827 110   2.1   32.2  77777 0999999999           0 ?0
